ts,total,USDC,Cash_Polymarket
2025-11-04T14:22:13Z,41.0000341741,4.15E-7,41
2025-11-04T14:23:41Z,41.0000341741,4.15E-7,41
2025-11-04T14:26:10Z,41.0000341741,4.15E-7,41
2025-11-04T14:29:31Z,41.0000341741,4.15E-7,41
2025-11-04T14:31:40Z,41.0000341741,4.15E-7,41
2025-11-04T14:32:13Z,41.0000341741,4.15E-7,41
2025-11-04T14:33:41Z,41.0000341741,4.15E-7,41
2025-11-04T14:36:10Z,41.0000341741,4.15E-7,41
2025-11-04T14:39:31Z,41.0000341741,4.15E-7,41
2025-11-04T14:41:41Z,41.0000341741,4.15E-7,41
2025-11-04T14:42:13Z,41.0000341741,4.15E-7,41
2025-11-04T14:43:42Z,41.0000341741,4.15E-7,41
2025-11-04T14:46:10Z,41.0000341741,4.15E-7,41
2025-11-04T14:49:32Z,41.0000341741,4.15E-7,41
2025-11-04T14:51:41Z,41.0000341741,4.15E-7,41
2025-11-04T14:52:14Z,41.0000341741,4.15E-7,41
2025-11-04T14:53:42Z,41.0000341741,4.15E-7,41
2025-11-04T14:56:10Z,41.0000341741,4.15E-7,41
2025-11-04T14:59:32Z,41.0000341741,4.15E-7,41
2025-11-04T15:01:41Z,41.0000341741,4.15E-7,41
2025-11-04T15:02:14Z,41.0000341741,4.15E-7,41
2025-11-04T15:03:42Z,41.0000341741,4.15E-7,41
2025-11-04T15:06:11Z,41.0000341741,4.15E-7,41
2025-11-04T15:09:32Z,41.0000341741,4.15E-7,41
2025-11-04T15:11:41Z,41.0000341741,4.15E-7,41
2025-11-04T15:12:14Z,41.0000341741,4.15E-7,41
2025-11-04T15:13:42Z,41.0000341741,4.15E-7,41
2025-11-04T15:16:11Z,41.0000341741,4.15E-7,41
2025-11-04T15:19:32Z,41.0000341741,4.15E-7,41
2025-11-04T15:21:42Z,41.0000341741,4.15E-7,41
2025-11-04T15:22:14Z,41.0000341741,4.15E-7,41
2025-11-04T15:23:42Z,41.0000341741,4.15E-7,41
2025-11-04T15:26:11Z,41.0000341741,4.15E-7,41
2025-11-04T15:29:33Z,41.0000341741,4.15E-7,41
2025-11-04T15:31:42Z,41.0000341741,4.15E-7,41
2025-11-04T15:32:14Z,41.0000341741,4.15E-7,41
2025-11-04T15:33:43Z,41.0000341741,4.15E-7,41
2025-11-04T15:36:11Z,41.0000341741,4.15E-7,41
2025-11-04T15:39:33Z,41.0000341741,4.15E-7,41
2025-11-04T15:41:42Z,41.0000341741,4.15E-7,41
2025-11-04T15:42:15Z,41.0000341741,4.15E-7,41
2025-11-04T15:43:43Z,41.0000341741,4.15E-7,41
2025-11-04T15:46:11Z,41.0000341741,4.15E-7,41
2025-11-04T15:49:33Z,41.0000341741,4.15E-7,41
